MapDate,RegionName,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20230425,I,84.81,15.19,0.92,0.00,0.00,0.00,2023-04-25,2023-05-01,1
20230425,II,82.92,17.08,2.78,0.00,0.00,0.00,2023-04-25,2023-05-01,1
20230425,III,46.95,53.05,19.53,0.00,0.00,0.00,2023-04-25,2023-05-01,1
20230425,IV,79.98,20.02,10.95,6.73,0.88,0.00,2023-04-25,2023-05-01,1
20230418,I,84.05,15.95,2.79,0.00,0.00,0.00,2023-04-18,2023-04-24,1
20230418,II,81.13,18.87,3.52,0.00,0.00,0.00,2023-04-18,2023-04-24,1
20230418,III,52.27,47.73,18.92,0.00,0.00,0.00,2023-04-18,2023-04-24,1
20230418,IV,80.68,19.32,10.93,6.84,0.70,0.00,2023-04-18,2023-04-24,1
20230411,I,94.66,5.34,0.00,0.00,0.00,0.00,2023-04-11,2023-04-17,1
20230411,II,84.44,15.56,1.43,0.00,0.00,0.00,2023-04-11,2023-04-17,1
20230411,III,56.24,43.76,10.52,0.00,0.00,0.00,2023-04-11,2023-04-17,1
20230411,IV,78.77,21.23,10.30,7.98,0.14,0.00,2023-04-11,2023-04-17,1
20230404,I,100.00,0.00,0.00,0.00,0.00,0.00,2023-04-04,2023-04-10,1
20230404,II,89.97,10.03,2.59,0.00,0.00,0.00,2023-04-04,2023-04-10,1
20230404,III,59.99,40.01,7.37,0.00,0.00,0.00,2023-04-04,2023-04-10,1
20230404,IV,67.46,32.54,10.95,8.24,0.67,0.00,2023-04-04,2023-04-10,1
20230328,I,100.00,0.00,0.00,0.00,0.00,0.00,2023-03-28,2023-04-03,1
20230328,II,91.32,8.68,1.47,0.00,0.00,0.00,2023-03-28,2023-04-03,1
20230328,III,68.58,31.42,5.41,0.00,0.00,0.00,2023-03-28,2023-04-03,1
20230328,IV,70.35,29.65,11.44,6.49,0.67,0.00,2023-03-28,2023-04-03,1
20230321,I,100.00,0.00,0.00,0.00,0.00,0.00,2023-03-21,2023-03-27,1
20230321,II,91.32,8.68,0.23,0.00,0.00,0.00,2023-03-21,2023-03-27,1
20230321,III,88.21,11.79,0.26,0.00,0.00,0.00,2023-03-21,2023-03-27,1
20230321,IV,72.60,27.40,11.49,2.73,0.00,0.00,2023-03-21,2023-03-27,1
20230314,I,100.00,0.00,0.00,0.00,0.00,0.00,2023-03-14,2023-03-20,1
20230314,II,92.93,7.07,0.23,0.00,0.00,0.00,2023-03-14,2023-03-20,1
20230314,III,97.23,2.77,0.26,0.00,0.00,0.00,2023-03-14,2023-03-20,1
20230314,IV,75.05,24.95,11.16,1.47,0.00,0.00,2023-03-14,2023-03-20,1
20230307,I,100.00,0.00,0.00,0.00,0.00,0.00,2023-03-07,2023-03-13,1
20230307,II,95.08,4.92,0.00,0.00,0.00,0.00,2023-03-07,2023-03-13,1
20230307,III,97.23,2.77,0.26,0.00,0.00,0.00,2023-03-07,2023-03-13,1
20230307,IV,72.98,27.02,12.81,0.58,0.00,0.00,2023-03-07,2023-03-13,1
20230228,I,100.00,0.00,0.00,0.00,0.00,0.00,2023-02-28,2023-03-06,1
20230228,II,93.19,6.81,0.00,0.00,0.00,0.00,2023-02-28,2023-03-06,1
20230228,III,91.32,8.68,0.26,0.00,0.00,0.00,2023-02-28,2023-03-06,1
20230228,IV,82.76,17.24,10.13,0.00,0.00,0.00,2023-02-28,2023-03-06,1
