MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20171128,MA,100,0,0,0,0,0,11/28/17,12/4/17,1
20170711,MA,100,0,0,0,0,0,7/11/17,7/17/17,1
20170704,MA,100,0,0,0,0,0,7/4/17,7/10/17,1
20170627,MA,100,0,0,0,0,0,6/27/17,7/3/17,1
20170620,MA,100,0,0,0,0,0,6/20/17,6/26/17,1
20170613,MA,100,0,0,0,0,0,6/13/17,6/19/17,1
20170606,MA,100,0,0,0,0,0,6/6/17,6/12/17,1
20170530,MA,100,0,0,0,0,0,5/30/17,6/5/17,1
20170523,MA,100,0,0,0,0,0,5/23/17,5/29/17,1
20170516,MA,100,0,0,0,0,0,5/16/17,5/22/17,1
20150317,MA,100,0,0,0,0,0,3/17/15,3/23/15,1
20150310,MA,100,0,0,0,0,0,3/10/15,3/16/15,1
20150303,MA,100,0,0,0,0,0,3/3/15,3/9/15,1
20150224,MA,100,0,0,0,0,0,2/24/15,3/2/15,1
20150217,MA,100,0,0,0,0,0,2/17/15,2/23/15,1
20150210,MA,100,0,0,0,0,0,2/10/15,2/16/15,1
20150203,MA,100,0,0,0,0,0,2/3/15,2/9/15,1
20150127,MA,100,0,0,0,0,0,1/27/15,2/2/15,1
20150120,MA,100,0,0,0,0,0,1/20/15,1/26/15,1
20150113,MA,100,0,0,0,0,0,1/13/15,1/19/15,1
20150106,MA,100,0,0,0,0,0,1/6/15,1/12/15,1
20141230,MA,100,0,0,0,0,0,12/30/14,1/5/15,1
20141223,MA,100,0,0,0,0,0,12/23/14,12/29/14,1
20141216,MA,100,0,0,0,0,0,12/16/14,12/22/14,1
20140603,MA,100,0,0,0,0,0,6/3/14,6/9/14,1
20140527,MA,100,0,0,0,0,0,5/27/14,6/2/14,1
20140520,MA,100,0,0,0,0,0,5/20/14,5/26/14,1
20140513,MA,100,0,0,0,0,0,5/13/14,5/19/14,1
20140506,MA,100,0,0,0,0,0,5/6/14,5/12/14,1
20140429,MA,100,0,0,0,0,0,4/29/14,5/5/14,1
20140422,MA,100,0,0,0,0,0,4/22/14,4/28/14,1
20140415,MA,100,0,0,0,0,0,4/15/14,4/21/14,1
20140408,MA,100,0,0,0,0,0,4/8/14,4/14/14,1
