collection date,town,trap type,mcd,ABS,CAN,GRO,MEL,PUN,EXC,QUA,AUR,STI,TRI,VEX,RES,JAP,PRE,CIN,PIP,NCR,PER,SAL,FER,TVT,TER,FIT,ALB,CTT,SAP,SOL,MOR,ATR,TAE,CUL,WAL,ERR,CRU,MIN,HEN,RUT,IMP,INO,PRO,PCT,INT,THI,SMI,STM,COM,BAR,COL,SIG,NA,ATL,week_num
2013-06-07,Fall River,Gravid Trap,Bristol,0,0,0,1,0,0,0,0,0,0,0,0,24,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-23
2013-06-07,Somerset,Gravid Trap,Bristol,0,0,0,0,0,0,0,0,0,0,1,0,8,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-23
2013-06-07,Swansea,Gravid Trap,Bristol,1,0,0,0,0,0,0,0,0,0,0,0,7,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-23
2013-06-08,Dighton,500cc CO2 - CDC Miniature Light Trap,Bristol,0,2,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-23
2013-06-11,Acushnet,500cc CO2 - CDC Miniature Light Trap,Bristol,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-24
2013-06-11,Berkley,500cc CO2 - CDC Miniature Light Trap,Bristol,2,10,5,2,1,0,1,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-24
2013-06-11,Freetown,500cc CO2 - CDC Miniature Light Trap,Bristol,0,17,0,41,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-24
2013-06-12,Dartmouth,Gravid Trap,Bristol,0,0,0,0,0,0,0,0,0,0,0,0,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-24
2013-06-12,Dighton,500cc CO2 - CDC Miniature Light Trap,Bristol,0,2,0,57,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-24
2013-06-12,Fairhaven,Gravid Trap,Bristol,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-24
2013-06-12,New Bedford,Gravid Trap,Bristol,0,0,0,0,0,0,0,0,0,0,0,0,3,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-24
2013-06-12,Seekonk,Gravid Trap,Bristol,0,0,0,1,0,0,0,0,0,0,0,0,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-24
2013-06-12,Somerset,Gravid Trap,Bristol,0,0,0,0,0,0,0,0,0,0,0,0,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-24
2013-06-12,Swansea,Gravid Trap,Bristol,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-24
2013-06-13,Easton,Dry Ice CO2 - CDC Miniature Light Trap with CO2,State Lab Institute,13,48,0,33,1,0,0,2,0,0,2,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-24
2013-06-13,Easton,Light - CDC Miniature Light Trap,State Lab Institute,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-24
2013-06-13,Fall River,Gravid Trap,Bristol,0,0,0,0,0,0,0,0,0,0,0,0,32,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-24
