week_num,Average_MEL
2019-33,109.48275862068965
2019-34,81.91666666666664
2019-35,20.25925925925926
2019-36,54.2
2019-37,36
2019-38,29.583333333333336
2019-39,17.210526315789473
2019-40,29.333333333333336
2019-41,40.6
2020-17,0
2020-18,0
2020-19,0
2020-21,0.3333333333333333
2020-22,16.9
2020-23,12.083333333333332
2020-24,21.454545454545453
2020-25,5.6
2020-26,28.923076923076923
2020-27,179.75
2020-28,28.5
2020-29,30.5
2020-30,24.083333333333336
2020-31,34.16666666666667
2020-32,8.615384615384615
2020-33,18.52173913043478
2020-34,8.09090909090909
2020-35,23.333333333333336
2020-36,1.7000000000000002
2020-37,7.25
2020-38,2
2020-39,0
2020-40,0.75
2021-18,0.6
2021-19,0.8
2021-21,1.4
2021-22,1.9166666666666665
2021-23,10.5
