week_num,Total_MEL,Total_All,MEL_Prop
2011-40,60,60,1
2011-42,39,154,0.2532467532467532
2012-21,1096,1440,0.7611111111111111
2012-22,41,312,0.13141025641025642
2012-23,423,2348,0.18015332197614992
2012-24,306,3192,0.09586466165413533
2012-25,1070,7568,0.14138477801268498
2012-26,733,4812,0.15232751454696591
2012-27,218,1421,0.1534130893736805
2012-28,1302,6481,0.2008949236228977
2012-29,1959,12525,0.1564071856287425
2012-30,699,4089,0.17094644167278064
2012-31,1220,4992,0.24439102564102563
2012-32,1678,3884,0.43202883625128735
2012-33,2614,5256,0.4973363774733638
2012-34,605,2388,0.2533500837520938
2012-35,871,5984,0.1455548128342246
2012-36,1115,4115,0.2709599027946537
2012-37,295,2941,0.10030601836110166
2012-38,87,1059,0.0821529745042493
2012-39,111,796,0.13944723618090452
2012-40,270,389,0.6940874035989717
2012-41,57,131,0.4351145038167939
2013-21,29,299,0.09698996655518395
2013-22,638,887,0.7192784667418264
2013-23,381,1173,0.3248081841432225
2013-24,285,1200,0.2375
2013-25,146,2474,0.05901374292643492
2013-26,720,14755,0.04879701796001355
2013-27,466,3595,0.12962447844228095
2013-28,816,13409,0.06085464986203296
2013-29,1123,8921,0.12588274857078802
2013-30,504,7602,0.06629834254143646
2013-31,935,7042,0.13277477989207612
2013-32,878,2562,0.34270101483216237
2013-33,716,3212,0.22291407222914073
2013-34,665,3118,0.21327774214239897
2013-35,1178,3335,0.3532233883058471
2013-36,1007,1826,0.5514786418400877
2013-37,180,564,0.3191489361702128
2013-38,248,311,0.797427652733119
2013-39,92,115,0.8
2013-40,191,222,0.8603603603603603
2013-41,298,323,0.9226006191950464
2014-23,112,869,0.12888377445339472
2014-24,100,784,0.12755102040816327
2014-25,271,2362,0.11473327688399661
2014-26,292,1856,0.15732758620689655
2014-27,276,5284,0.052233156699470096
2014-28,315,6362,0.049512731845331656
2014-29,276,2509,0.11000398565165405
2014-30,371,4029,0.09208240258128568
2014-31,248,2825,0.08778761061946902
2014-32,517,2244,0.23039215686274508
2014-33,404,2230,0.18116591928251122
2014-34,403,1833,0.2198581560283688
2014-35,670,1531,0.43762246897452645
2014-36,610,1228,0.496742671009772
2014-37,135,563,0.23978685612788633
2014-38,124,247,0.5020242914979757
2014-39,20,32,0.625
2014-40,97,100,0.97
2014-41,12,12,1
2014-42,25,30,0.8333333333333334
2015-24,68,548,0.12408759124087591
2015-25,39,695,0.05611510791366906
2015-26,39,1485,0.026262626262626262
2015-27,152,2036,0.07465618860510806
2015-28,112,1546,0.0724450194049159
2015-29,169,4096,0.041259765625
2015-30,300,4006,0.07488766849725412
2015-31,248,3427,0.07236650131310184
2015-32,345,2178,0.1584022038567493
2015-33,280,2029,0.13799901429275505
2015-34,638,2184,0.29212454212454214
2015-35,433,1581,0.2738772928526249
2015-36,355,1097,0.3236098450319052
2015-37,224,670,0.33432835820895523
2015-38,276,615,0.44878048780487806
2015-39,148,258,0.5736434108527132
2015-40,61,71,0.8591549295774648
2015-41,30,42,0.7142857142857143
2016-21,91,1689,0.053878034339846066
2016-22,111,1114,0.09964093357271095
2016-23,326,1330,0.24511278195488723
2016-24,119,2023,0.058823529411764705
2016-25,263,3526,0.07458876914350539
2016-26,381,3986,0.09558454591068741
2016-27,183,1312,0.13948170731707318
2016-28,162,1583,0.10233733417561591
2016-29,277,4416,0.06272644927536232
2016-30,79,2259,0.03497122620628597
2016-31,115,2340,0.049145299145299144
2016-32,46,1372,0.033527696793002916
2016-33,29,1269,0.022852639873916468
