"MapDate","RegionName","None","D0","D1","D2","D3","D4","ValidStart","ValidEnd","StatisticFormatID","week_num","DSCI_fema"
2021-08-17,"IV",97.24,2.76,0.1,0,0,0,2021-08-17,2021-08-23,1,"2021-33",2.86
2021-08-10,"I",54.21,45.79,27.12,4.64,0,0,2021-08-10,2021-08-16,1,"2021-32",77.55
2021-08-10,"II",94.04,5.96,1.39,0,0,0,2021-08-10,2021-08-16,1,"2021-32",7.35
2021-08-10,"III",57.2,42.8,8.14,0,0,0,2021-08-10,2021-08-16,1,"2021-32",50.94
2021-08-10,"IV",94.24,5.76,0.1,0,0,0,2021-08-10,2021-08-16,1,"2021-32",5.86
2021-08-03,"I",54.24,45.76,28.74,4.64,0,0,2021-08-03,2021-08-09,1,"2021-31",79.14
2021-08-03,"II",93.99,6.01,1.4,0,0,0,2021-08-03,2021-08-09,1,"2021-31",7.41
2021-08-03,"III",62.91,37.09,2.83,0,0,0,2021-08-03,2021-08-09,1,"2021-31",39.92
2021-08-03,"IV",96.42,3.58,0.04,0,0,0,2021-08-03,2021-08-09,1,"2021-31",3.62
2021-07-27,"I",49.66,50.34,24.21,4.28,0,0,2021-07-27,2021-08-02,1,"2021-30",78.83
2021-07-27,"II",88.71,11.29,3.36,0,0,0,2021-07-27,2021-08-02,1,"2021-30",14.65
2021-07-27,"III",78.26,21.74,1.9,0,0,0,2021-07-27,2021-08-02,1,"2021-30",23.64
2021-07-27,"IV",97.19,2.81,0.04,0,0,0,2021-07-27,2021-08-02,1,"2021-30",2.85
2021-07-20,"I",44.76,55.24,29.24,4.89,0,0,2021-07-20,2021-07-26,1,"2021-29",89.37
2021-07-20,"II",84.45,15.55,6.32,0,0,0,2021-07-20,2021-07-26,1,"2021-29",21.87
2021-07-20,"III",86.77,13.23,0.55,0,0,0,2021-07-20,2021-07-26,1,"2021-29",13.78
2021-07-20,"IV",95.67,4.33,0.04,0,0,0,2021-07-20,2021-07-26,1,"2021-29",4.37
2021-07-13,"I",35.45,64.55,29.95,4.55,0,0,2021-07-13,2021-07-19,1,"2021-28",99.05
2021-07-13,"II",70.17,29.83,11.36,0,0,0,2021-07-13,2021-07-19,1,"2021-28",41.19
2021-07-13,"III",86.63,13.37,0,0,0,0,2021-07-13,2021-07-19,1,"2021-28",13.37
