week_num,Hrs_Below_50_current,Avg_HourlyRelativeHumidity_current,Avg_HourlyWetBulbTemperature_current,Avg_HourlyWindSpeed_current
2007-38,166,78.9906103286385,51.725352112676056,2.063529411764706
2007-39,37,69.26991150442478,59.85840707964602,4.464601769911504
2007-40,87,77.9055374592834,57.472312703583064,2.2426229508196722
2007-41,30,77.50508474576272,54.9593220338983,3.8440677966101693
2007-42,98,75.8532423208191,52.98634812286689,3.6245733788395906
2007-43,72,75.35191637630662,51.93356643356643,4.968531468531468
2007-44,121,66.5,42.43805309734513,5.835555555555556
2007-45,170,67.39423076923077,36.3125,3.9759615384615383
2007-46,176,72.01115241635688,40.30597014925373,5.193308550185874
2007-47,213,74.15503875968992,36.883720930232556,4.007722007722008
2007-48,139,64.22110552763819,37.035353535353536,5.919597989949748
2007-49,209,70.47846889952153,27.43062200956938,4.832535885167464
2007-50,286,79.13576158940397,30.89072847682119,4.635761589403973
