week_num,Pools_Tested,Positive_Pools,Total_Tested,MIR,Week,Year
2021-32,13,0,581,0,32,2021
2021-33,15,0,609,0,33,2021
2021-34,23,0,1030,0,34,2021
2021-35,12,0,401,0,35,2021
2021-36,13,0,482,0,36,2021
2021-37,17,0,736,0,37,2021
2021-38,7,0,258,0,38,2021
2021-39,7,0,229,0,39,2021
2022-23,4,0,182,0,23,2022
2022-24,34,0,1659,0,24,2022
2022-25,16,0,633,0,25,2022
2022-26,19,0,925,0,26,2022
2022-27,6,0,190,0,27,2022
2022-28,10,1,480,2.0833333333333335,28,2022
2022-29,5,0,205,0,29,2022
2022-30,4,0,115,0,30,2022
2022-31,10,0,371,0,31,2022
2022-32,3,0,118,0,32,2022
2022-33,4,0,86,0,33,2022
2022-34,9,0,139,0,34,2022
2022-35,6,1,90,11.11111111111111,35,2022
2022-36,9,0,186,0,36,2022
2022-37,9,0,121,0,37,2022
2022-38,6,0,97,0,38,2022
2022-39,1,0,16,0,39,2022
2022-40,4,0,49,0,40,2022
2023-23,3,0,66,0,23,2023
2023-24,17,0,700,0,24,2023
2023-25,15,0,629,0,25,2023
2023-26,19,0,865,0,26,2023
2023-27,10,0,301,0,27,2023
2023-28,16,0,605,0,28,2023
2023-29,29,0,1449,0,29,2023
2023-30,25,0,1148,0,30,2023
2023-31,21,1,945,1.0582010582010584,31,2023
2023-32,25,0,1131,0,32,2023
2023-33,30,1,1367,0.731528895391368,33,2023
2023-34,22,2,868,2.304147465437788,34,2023
2023-35,35,0,1414,0,35,2023
2023-36,10,1,399,2.506265664160401,36,2023
2023-37,19,2,844,2.3696682464454977,37,2023
2023-38,17,4,666,6.006006006006006,38,2023
2023-39,17,7,647,10.819165378670787,39,2023
2023-40,6,0,34,0,40,2023
2023-41,5,0,131,0,41,2023
