Trap Site Address,MCD,Location,DecLat,DecLong
"Kyler Seafood- Washburn St., BR",Bristol,New Bedford: New Bedford 02740(Bristol),41.65372778,-70.92089167
"Washburn Street, BR",Bristol,New Bedford: New Bedford 02740(Bristol),41.654033,-70.920461
"Fish Island, BR",Bristol,New Bedford: New Bedford 02740(Bristol),41.639312,-70.919399
River View Park,Bristol,Acushnet: Acushnet 02743 (Bristol),41.680218000000004,-70.916591
"Main street cemetery, BR",Bristol,Acushnet: Acushnet 02743 (Bristol),41.68502222,-70.91410833
"River ave., BR",Bristol,Fairhaven: Fairhaven 02719(Bristol),41.654656,-70.914052
"Moby Dick, BR",Bristol,Fairhaven: Fairhaven 02719(Bristol),41.653862,-70.913672
Hazelwood Park,Bristol,New Bedford: New Bedford unknown(Bristol),41.606881,-70.912325
Riverside Cemetery,Bristol,Fairhaven: Fairhaven 02719(Bristol),41.6526,-70.912325
"Riverside Cemetery, BR",Bristol,Fairhaven: Fairhaven 02719(Bristol),41.652483,-70.908992
"Unknown Address - Acushnet, BR",Bristol,Acushnet: Acushnet 02743 (Bristol),41.680659,-70.907817
"Mayflower Street #20, BR",Bristol,Fairhaven: Fairhaven 02719(Bristol),41.648288,-70.903806
"Lantern Ln, BR",Bristol,Acushnet: Acushnet 02743 (Bristol),41.74439,-70.89263
"Perry Hill Road - Acushnet, BR",Bristol,Acushnet: Acushnet 02743 (Bristol),41.708067,-70.877417
"Dartmouth Street, BR",Bristol,Fairhaven: Fairhaven 02719(Bristol),41.6443,-70.867653
New Boston Rd,Bristol,Fairhaven: Fairhaven 02719(Bristol),41.678709,-70.861769
