"week_num","Hours_Above_80","Hours_Above_75","Hours_Below_50","Avg_HourlyRelativeHumidity","Avg_HourlyWetBulbTemperature","Avg_HourlyWindSpeed","Lagged_week_num"
"2010-02",0,0,176,67.9545454545455,25.0909090909091,4.47159090909091,"2010-01"
"2010-03",0,0,233,79.8669527896996,30.4334763948498,5.55793991416309,"2010-02"
"2010-04",0,0,179,66.079295154185,30.4273127753304,9.33039647577092,"2010-03"
"2010-05",0,0,204,58.0686274509804,21.9264705882353,5.77450980392157,"2010-04"
"2010-06",0,0,205,62.2926829268293,26.0048780487805,8.49756097560975,"2010-05"
"2010-07",0,0,216,68.2534562211982,30.2073732718894,7.52534562211981,"2010-06"
"2010-08",0,0,309,84.2783171521036,35.5179153094462,6.46925566343042,"2010-07"
"2010-09",0,0,312,76.6727828746178,32.3669724770642,8.62385321100918,"2010-08"
"2010-10",0,0,195,72.3318181818182,38.65,7.58636363636364,"2010-09"
"2010-11",0,0,149,66.6132075471698,40.2594339622642,6.95283018867925,"2010-10"
"2010-12",0,0,255,78.7212543554007,39.7804878048781,6.26829268292683,"2010-11"
"2010-13",0,4,184,85.7114285714286,46.0857142857143,5.16857142857142,"2010-12"
"2010-14",7,9,76,69.0044642857143,48.4151785714286,5.78125,"2010-13"
"2010-15",0,0,215,75.4790874524715,38.8136882129278,3.60919540229885,"2010-14"
"2010-16",0,0,139,72.8076923076923,43.4230769230769,4.07692307692307,"2010-15"
"2010-17",4,16,111,65.5471698113207,46.311320754717,6.51415094339622,"2010-16"
"2010-18",1,16,18,66.3080357142857,53.4553571428571,7.78923766816144,"2010-17"
"2010-19",0,0,97,67.4253393665158,43.5294117647059,3.94570135746606,"2010-18"
"2010-20",0,8,49,83.3218884120172,51.8755364806867,3.74621212121212,"2010-19"
"2010-21",22,46,3,75.5870646766169,61.1990049751244,4.58986175115207,"2010-20"
"2010-22",8,47,0,87.7875,64.0375,4.5375,"2010-21"
"2010-23",0,1,26,85.0161943319838,55.9554655870445,3.57894736842105,"2010-22"
"2010-24",14,39,1,83.8801498127341,61.5131086142322,3.7752808988764,"2010-23"
"2010-25",53,87,0,81.7258064516129,66.1088709677419,3.26209677419355,"2010-24"
"2010-26",39,70,4,66.4130434782609,62.5054347826087,5.03351955307263,"2010-25"
"2010-27",80,130,0,84.309375,70.271875,3.215625,"2010-26"
"2010-28",59,149,0,87.2240802675585,71.1471571906355,4.20066889632107,"2010-27"
"2010-29",46,92,0,86.96138996139,69.988416988417,3.41698841698842,"2010-28"
"2010-30",37,82,1,74.1207729468599,61.7777777777778,4.26570048309179,"2010-29"
"2010-31",46,111,0,79.0821917808219,68.283105022831,6.01369863013699,"2010-30"
"2010-32",30,70,36,83.155303030303,61.2395437262357,2.47876447876448,"2010-31"
"2010-33",36,78,14,84.12109375,64.07421875,3.1171875,"2010-32"
"2010-34",18,32,18,89.2133333333333,61.4066666666667,5.93,"2010-33"
"2010-35",49,89,0,81.8880308880309,66.7528957528957,3.52490421455938,"2010-34"
"2010-36",8,23,65,79.4414414414414,56.2432432432433,4.13513513513514,"2010-35"
"2010-37",0,6,92,86.8120567375887,53.8368794326241,2.78014184397163,"2010-36"
"2010-38",8,21,8,81.0349344978166,60.2489082969432,5.20524017467249,"2010-37"
"2010-39",8,65,13,88.5144927536232,63.7065217391304,7.07272727272727,"2010-38"
"2010-40",0,0,36,84.1,51.8545454545454,5.78082191780821,"2010-39"
"2010-41",0,0,141,83.6715328467153,44.9963503649635,4.43430656934307,"2010-40"
"2010-42",0,0,165,80.3776824034335,41.0603448275862,3.27467811158798,"2010-41"
"2010-43",0,0,33,81.4025423728814,55.5805084745763,7.4364406779661,"2010-42"
