week_num,Pools_Tested,Positive_Pools,Total_Tested,MIR,Avg_TMAX,Total_PRCP,week_num.y.y,Hrs_Above_80_lag,Hrs_Above_75_lag,Hrs_Below_50_lag,Hrs_Between_50_86_lag,Avg_HourlyDryBulbTemp_lag,Avg_HourlyWetBulbTemp_lag,Hrs_Below_50_current,Avg_HourlyRelativeHumidity_current,Avg_HourlyWetBulbTemperature_current,Avg_HourlyWindSpeed_current,None.x,D0.x,D1.x,D2.x,D3.x,D4.x,DSCI_fema,None.y,D0.y,D1.y,D2.y,D3.y,D4.y,DSCI_ma,average_daylight_hours,Average_MEL,Total_MEL,Total_All,MEL_Prop
2014-28,31,0,1243,0,85.57142857142857,3,2014-27,53,115,0,241,73.53174603174604,67.75396825396825,0,75.73303167420815,65.80090497737557,5.117647058823529,91.43,8.57,0,0,0,0,8.57,39.23,60.77,0,0,0,0,60.77,-8.96452380952381,22.615384615384617,315,6362,0.04951273184533165
2014-29,31,0,985,0,85.14285714285714,0.02,2014-28,48,81,0,217,71.51131221719457,65.80090497737557,0,86.84813753581662,66.58166189111748,4.186781609195402,89.94,10.06,0,0,0,0,10.06,39.23,60.77,0,0,0,0,60.77,-9.12174603174603,16.642857142857142,276,2509,0.11000398565165403
2014-30,50,0,1866,0,79.85714285714286,2.5100000000000002,2014-29,13,93,0,349,69.40401146131805,66.58166189111748,0,79.63404255319149,65.13191489361702,4.412765957446808,89.08,10.92,0,0,0,0,10.92,39.23,60.77,0,0,0,0,60.77,-9.31793650793651,28.307692307692307,371,4029,0.09208240258128568
2014-31,33,0,1146,0,82.28571428571429,0.16,2014-30,25,63,0,232,69.67659574468085,65.13191489361702,0,83.02867383512545,62.318996415770606,3.4336917562724016,89.77,10.23,0,0,0,0,10.23,39.23,60.77,0,0,0,0,60.77,-9.54686507936508,16.78571428571429,248,2825,0.08778761061946902
2014-32,44,1,1550,0.6451612903225806,79,0.47000000000000003,2014-31,27,60,0,279,66.03584229390681,62.318996415770606,0,83.728125,61.071875,1.70625,87.39,12.61,0,0,0,0,12.61,39.23,60.77,0,0,0,0,60.77,10.7688888888889,37.30769230769231,517,2244,0.23039215686274508
2014-33,35,1,1143,0.8748906386701663,84.42857142857143,0.16,2014-32,38,67,0,320,64.98125,61.071875,0,80.57142857142857,60.51587301587302,4.298804780876494,87.39,12.61,0,0,0,0,12.61,39.23,60.77,0,0,0,0,60.77,13.9207936507937,30.363636363636367,404,2230,0.1811659192825112
2014-34,29,0,773,0,78.57142857142857,0.38,2014-33,11,41,0,252,64.86904761904762,60.51587301587302,42,81.96126760563381,56.316901408450704,2.070671378091873,90.76,9.24,0,0,0,0,9.24,86.69,13.31,0,0,0,0,13.31,13.6279365079365,24.583333333333336,403,1833,0.2198581560283688
2014-35,24,3,623,4.815409309791332,79.28571428571429,0.11,2014-34,8,36,42,242,60.26056338028169,56.316901408450704,28,77.24568965517241,60.185344827586206,3.774891774891775,90.62,9.38,0,0,0,0,9.38,86.69,13.31,0,0,0,0,13.31,13.3228571428571,29.90909090909091,670,1531,0.4376224689745265
2014-36,21,4,562,7.117437722419928,83.85714285714286,0.14,2014-35,35,62,28,198,65.4396551724138,60.185344827586206,0,80.83754512635379,66.01083032490975,4.1985559566787005,90.62,9.38,0,0,0,0,9.38,86.69,13.31,0,0,0,0,13.31,13.009126984127,45.63636363636364,610,1228,0.496742671009772
2014-37,6,0,81,0,87.28571428571429,0.66,2014-36,58,126,0,262,70.74368231046931,66.01083032490975,79,84.12779552715655,55.067092651757186,2.6378205128205128,90.12,9.88,0,0,0,0,9.88,82.88,17.12,0,0,0,0,17.12,12.6893253968254,8.8,135,563,0.23978685612788633
